id,nome,tipo_registro,categoria_principal,categorias_secundarias,resumo,cidade,uf,rua,numero,bairro,complemento,latitude,longitude,telefone,whatsapp,email,site,instagram,horario_funcionamento,servicos_atracoes,acessibilidade,necessita_reserva,cadastur,url_origem,url_mapa,status_revisao,situacao_catalogo,alertas_catalogo,fontes_consultadas
atm_0011,Real Maia,empresa,Agência de passagens de ônibus,passeios_agencias,"A entidade Real Maia é uma agência de passagens de ônibus em Altamira, PA. O endereço é R. Luís Né da Silva, S/N - Sudam I, e pode ser contatada pelo telefone (93) 99119-8672 ou pelo link do WhatsApp fornecido. As coordenadas são -3.2041183, -52.2178536 (google_maps:205:83aba5d8ae).",Altamira,PA,R. Luís Né da Silva,S/N,Sudam I,,"-3,2041183","-52,2178536",(93) 99119-8672,,,https://wa.me/message/FQV4732Y6W74P1,,,,,,,https://www.google.com/maps/place/Real+Maia/data=!4m7!3m6!1s0x92923915e234ccd3:0x1fdc07f431eb1830!8m2!3d-3.2041183!4d-52.2178536!16s%2Fg%2F11msp_cd_f!19sChIJ08w04hU5kpIRMBjrMfQH3B8?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2041183,-52.2178536",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0012,Gemaque Corretora de Seguros,empresa,Agência de seguros,passeios_agencias,"Entidade turística consolidada: Gemaque Corretora de Seguros, uma agência de seguros em Altamira/PA. O endereço é Tv. Pedro Gomes, 1118 - Perpétuo Socorro. Contato: (93) 99172-4266. Coordenadas e dados extraídos do Google Maps (2026-09-11). Não é um ponto turístico de lazer.",Altamira,PA,Tv. Pedro Gomes,1118,Perpétuo Socorro,,"-3,2054922","-52,2190883",(93) 99172-4266,,,,,,,,,,https://www.google.com/maps/place/Gemaque+Corretora+de+Seguros/data=!4m7!3m6!1s0x9292393db1e25b91:0x7c9ba448acc97d9d!8m2!3d-3.2054922!4d-52.2190883!16s%2Fg%2F11rwp0zl01!19sChIJkVvisT05kpIRnX3JrEikm3w?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2054922,-52.2190883",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0013,Agencia da Grazi,empresa,Agência de turismo,passeios_agencias,"A Agência da Grazi é uma agência de turismo localizada em Altamira, PA. O endereço é Av. Tancredo Neves, 2524 - Centro, e o contato telefônico é (93) 99172-1808. As coordenadas são -3.2110328, -52.2167447 (Fonte: google_maps:201:83aba5d8ae, 2026-09-11).",Altamira,PA,Av. Tancredo Neves,2524,Centro,,"-3,2110328","-52,2167447",(93) 99172-1808,,,,,,,,,,https://www.google.com/maps/place/Agencia+da+Grazi/data=!4m7!3m6!1s0x929239490dd93ca1:0xf0f564003fd446f2!8m2!3d-3.2110328!4d-52.2167447!16s%2Fg%2F11y7d5k5v8!19sChIJoTzZDUk5kpIR8kbUPwBk9fA?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2110328,-52.2167447",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0014,Jrvs Turismo,empresa,Agência de turismo,passeios_agencias,"A entidade JRVS TURISMO foi consolidada com dados da fonte google_maps:560:83aba5d8ae. O negócio é classificado como Agência de turismo, localizado em Altamira/PA, no bairro Liberdade. O endereço é R. Pitangas - Liberdade, e o contato é (93) 99230-8787. O site oficial é https://br.onertravel.com/jrvsturismo/home.",Altamira,PA,R. Pitangas,,Liberdade,,"-3,1880491","-52,2338247",(93) 99230-8787,,,https://br.onertravel.com/jrvsturismo/home,,,,,,,https://www.google.com/maps/place/Para%C3%ADso+Turismo+Altamira/data=!4m7!3m6!1s0x92923931b30cf587:0xb783ab4366d13f57!8m2!3d-3.2045439!4d-52.2114155!16s%2Fg%2F11ybnm_yzh!19sChIJh_UMszE5kpIRVz_RZkOrg7c?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.1880491,-52.2338247",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0015,Xingu Adventure,empresa,Agência de turismo,passeios_agencias,"A Xingu Adventure é uma agência de turismo em Altamira/PA, especializada em ecoturismo e aventuras no Rio Xingu. Possui registro no Cadastur e oferece serviços como passeio de voadeira, caiaque e pescaria. O contato principal é (93) 99147-1046. O endereço é Av. João Pessoa, N° 2648 - Esplanada do Xingu. Recomenda-se verificar a disponibilidade, pois o serviço necessita de reserva.",Altamira,PA,Av. João Pessoa,2648,Esplanada do Xingu,,,,(93) 99147-1046,(93) 99147-1046,xinguadventure@hotmail.com,,,,"Soltura de tartarugas, passeio de voadeira, caiaque, pescaria",,,Regular - Certificado: 37289521000110 (Operação) - Validade: 2026-09-05,https://visitaltamira.com.br/pt/empresa/xingu-adventure,,revisado_com_pendencias,Revisar,sem coordenadas | pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0016,Agência de Viagens E Turismo - Vip Turismo,empresa,Agência de viagens,passeios_agencias,"A entidade Vip Turismo em Altamira/PA é uma agência de viagens. O endereço mais completo encontrado é Av. Tancredo Neves, 2765 - Centro, Altamira - PA, 68372-590. O telefone é (93) 99150-3441 (Google Maps). Possui registro Cadastur ativo e necessita de reserva. As coordenadas foram obtidas via Google Maps.",Altamira,PA,Av. Tancredo Neves,2765,Centro,,,,(93) 99150-3441,,vipturismoatm@outlook.com,,,,,,Sim,Regular - Certificado: 24845613000198 (Operação) - Validade: 2026-12-18,https://cadastur.turismo.gov.br/,,revisado_com_pendencias,Revisar,sem coordenadas | pendências da fonte,cadastur | google_maps | youtube | visitaltamira | https://www.visitaltamira.com.br/pt/empresa/vip-turismo-altamira | https://www.locaisdobrasil.com.br/encontre/agencia-de-viagens/altamira-pa/vip-turismo/66d8b8fe70d3ea745b3bf13e
atm_0017,Amazontur,empresa,Agência de viagens,passeios_agencias,"Amazontur é uma agência de viagens localizada em Altamira, PA. O endereço é Selaria Mineira - R. 7 de Setembro, 1681 - Centro, Altamira - PA, 68371-000. O contato telefônico é (93) 3515-3713. As informações foram extraídas do Google Maps em 11/09/2026.",Altamira,PA,R. 7 de Setembro,1681,Centro,,"-3,2092552","-52,2137998",(93) 3515-3713,,,,,,,,,,https://www.google.com/maps/place/Amazontur/data=!4m7!3m6!1s0x9292386d6a236a3d:0x6c6ec906178d2216!8m2!3d-3.2092552!4d-52.2137998!16s%2Fg%2F1tglnzq6!19sChIJPWojam04kpIRFiKNFwbJbmw?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2092552,-52.2137998",revisado,Apto para conferência final,,cadastur | google_maps | youtube | visitaltamira
atm_0018,Boa Esperança - Agencia Altamira - Term. Rodoviário,empresa,Agência de viagens,passeios_agencias,"Entidade turística consolidada: Boa Esperança - Agencia Altamira - Term. Rodoviário. É uma agência de viagens em Altamira/PA, localizada na Rua Luís Né da Silva - Perpétuo Socorro. Contatos e endereço verificados via Google Maps (2026-09-11). Telefone: (93) 99267-5278. Site: https://www.viajeboaesperanca.com.br/",Altamira,PA,R. Luís Né da Silva,,Perpétuo Socorro,,"-3,2057044","-52,2207975",(93) 99267-5278,,,https://www.viajeboaesperanca.com.br/,,,,,,,https://www.google.com/maps/place/Boa+Esperan%C3%A7a+-+Agencia+Altamira+-+Term.+Rodovi%C3%A1rio/data=!4m7!3m6!1s0x929239dddb1f4bc9:0xf61d2c02955c87cf!8m2!3d-3.2057044!4d-52.2207975!16s%2Fg%2F11h_ccw2zm!19sChIJyUsf2905kpIRz4dclQIsHfY?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2057044,-52.2207975",revisado,Apto para conferência final,,cadastur | google_maps | youtube | visitaltamira
atm_0019,Cvc Altamira,empresa,Agência de viagens,passeios_agencias,"Consolidado para CVC Altamira, utilizando os dados da primeira ocorrência do Google Maps. A agência está localizada em Altamira/PA, com endereço na Av. Tancredo Neves, Centro. Contato: (93) 99194-0829.",Altamira,PA,Av. Tancredo Neves,2217,Centro,,"-3,2093665","-52,2149084",(93) 99194-0829,,,,,,,,,,https://www.google.com/maps/place/CVC+Altamira/data=!4m7!3m6!1s0x929239e214261b6b:0x77dd78a5d46a4102!8m2!3d-3.2093665!4d-52.2149084!16s%2Fg%2F11w7dsk9gl!19sChIJaxsmFOI5kpIRAkFq1KV43Xc?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2093665,-52.2149084",revisado,Apto para conferência final,,cadastur | google_maps | youtube | visitaltamira
atm_0020,Encontre Sua Viagem,empresa,Agência de viagens,passeios_agencias,"Entidade turística consolidada: Encontre sua viagem, uma agência de viagens em Altamira/PA. Endereço: Tv. Deóclides de Almeida, n:407 - Brasília, Altamira - PA, 68375-070. Contato: (93) 99167-5490. Site: https://encontresuaviagem.com.br/consultores/diego-almeida-silva/. Coordenadas: -3.1956616, -52.2117867 (Fonte: google_maps, 2026-09-11).",Altamira,PA,"Tv. Deóclides de Almeida, N:407",,Brasília,,"-3,1956616","-52,2117867",(93) 99167-5490,,,https://encontresuaviagem.com.br/consultores/diego-almeida-silva/,,,,,,,https://www.google.com/maps/place/Encontre+sua+viagem/data=!4m7!3m6!1s0x92923925a49c1313:0x2773a04949267ce6!8m2!3d-3.1956616!4d-52.2117867!16s%2Fg%2F11vks9t6hy!19sChIJExOcpCU5kpIR5nwmSUmgcyc?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.1956616,-52.2117867",revisado,Apto para conferência final,,cadastur | google_maps | youtube | visitaltamira
atm_0021,Jbs Turismo,empresa,Agência de viagens,passeios_agencias,"JBS Turismo é uma agência de viagens localizada em Altamira, PA. O endereço é Av. Djalma Dutra, 1683 - Jardim Independente II. O contato telefônico é (93) 3515-1800. As coordenadas são -3.2133443, -52.217658 (Fonte: google_maps, 2026-09-11).",Altamira,PA,Av. Djalma Dutra,1683,Jardim Independente Ii,,"-3,2133443","-52,217658",(93) 3515-1800,,,,,,,,,,https://www.google.com/maps/place/JBS+Turismo/data=!4m7!3m6!1s0x929238388237b1ad:0x2bd3927e034b9265!8m2!3d-3.2133443!4d-52.217658!16s%2Fg%2F1tl7pst1!19sChIJrbE3gjg4kpIRZZJLA36S0ys?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2133443,-52.217658",revisado,Apto para conferência final,,cadastur | google_maps | youtube | visitaltamira
atm_0022,Jj Tur Altamira,empresa,Agência de viagens,passeios_agencias,"A entidade JJ Tur Altamira foi consolidada usando dados do Google Maps (ID: google_maps:200:83aba5d8ae) e informações web verificadas (live_af1b0056f7). O nome é 'JJ Tur Altamira', classificada como Agência de viagens em Altamira/PA. O endereço é R. Luís Né da Silva - Sudam I, e o telefone principal é (93) 99217-5135. O site é http://www.jjturaltamira.com.br/ e os serviços incluem transporte rodoviário de passageiros, encomendas e cargas.",Altamira,PA,R. Luís Né da Silva,,Sudam I,,"-3,205776","-52,2209041",(93) 99217-5135,,,http://www.jjturaltamira.com.br/,,,"transporte rodoviário de passageiros, encomendas e cargas",,,,https://www.google.com/maps/place/Boa+Esperan%C3%A7a+-+Agencia+Altamira+-+Term.+Rodovi%C3%A1rio/data=!4m7!3m6!1s0x929239dddb1f4bc9:0xf61d2c02955c87cf!8m2!3d-3.2057044!4d-52.2207975!16s%2Fg%2F11h_ccw2zm!19sChIJyUsf2905kpIRz4dclQIsHfY?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.205776,-52.2209041",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira | https://www.jjtur.com.br/ | https://www.buscaonibus.com.br/horario/altamira/goiania
atm_0023,Paraíso Turismo Altamira,empresa,Agência de viagens,passeios_agencias,"Entidade turística consolidada: Paraíso Turismo Altamira, classificada como Agência de viagens (passeios_agencias). Localizada em Altamira/PA, no endereço Av. Djalma Dutra, 1630 ALTOS - APTO. 02 - Centro. Contato: (93) 99144-3111. Coordenadas: -3.2045439, -52.2114155 (Fonte: google_maps, 2026-09-11).",Altamira,PA,"Av. Djalma Dutra, 1630 Altos",,Centro,Apto. 02,"-3,2045439","-52,2114155",(93) 99144-3111,,,,,,,,,,https://www.google.com/maps/place/Para%C3%ADso+Turismo+Altamira/data=!4m7!3m6!1s0x92923931b30cf587:0xb783ab4366d13f57!8m2!3d-3.2045439!4d-52.2114155!16s%2Fg%2F11ybnm_yzh!19sChIJh_UMszE5kpIRVz_RZkOrg7c?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2045439,-52.2114155",revisado_com_pendencias,Revisar,pendências da fonte,cadastur | google_maps | youtube | visitaltamira
atm_0024,Riverside Turismo,empresa,Agência de viagens,passeios_agencias,"Riverside Turismo é uma agência de viagens em Altamira/PA, localizada na Av. Djalma Dutra, 1804 - Premem. O contato é (93) 3515-2200. As coordenadas são -3.2058371, -52.2124446 (Fonte: google_maps:209:83aba5d8ae, 2026-09-11).",Altamira,PA,Av. Djalma Dutra,1804,Premem,,"-3,2058371","-52,2124446",(93) 3515-2200,,,,,,,,,,https://www.google.com/maps/place/Riverside+Turismo/data=!4m7!3m6!1s0x92923876b4c56b11:0x595dcf16cb40d269!8m2!3d-3.2058371!4d-52.2124446!16s%2Fg%2F1ptzf356r!19sChIJEWvFtHY4kpIRadJAyxbPXVk?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.2058371,-52.2124446",revisado,Apto para conferência final,,cadastur | google_maps | youtube | visitaltamira
atm_0025,Top Line Turismo,empresa,Agência de viagens,passeios_agencias,"A Top Line Turismo é uma agência de viagens em Altamira/PA. O endereço é Av. Djalma Dutra, 1783 - Centro. Contatos incluem telefone (93) 3515-3050 e e-mail contato@toplineturismo.com.br. O site é http://toplineturismo.com.br/. A empresa está cadastrada no Cadastur e necessita de reserva.",Altamira,PA,Av. Djalma Dutra,1783,Centro,,,,(93) 3515-3050,,contato@toplineturismo.com.br,http://toplineturismo.com.br/,,,,,Sim,Regular - Certificado: 03485317000153 (Operação) - Validade: 2027-08-21,https://visitaltamira.com.br/pt/empresa/topline-turismo,,revisado_com_pendencias,Revisar,sem coordenadas | pendências da fonte,cadastur | google_maps | youtube | visitaltamira | https://toplineturismo.com.br/contatos
atm_0026,Zanchettur,empresa,Agência de viagens,passeios_agencias,"Entidade turística Zanchettur, classificada como Agência de viagens e passeios_agencias. Localizada em Altamira/PA, no bairro Jardim Primavera. Endereço: 470, R. dos Jasmins, 254 - Jardim Primavera, Altamira - PA. Coordenadas: -3.1907846, -52.2063382 (Fonte: google_maps, 2026-09-11).",Altamira,PA,"470, R. Dos Jasmins",254,Jardim Primavera,,"-3,1907846","-52,2063382",,,,,,,,,,,https://www.google.com/maps/place/Zanchettur/data=!4m7!3m6!1s0x92923831399ddab9:0x1e2623726603780a!8m2!3d-3.1907846!4d-52.2063382!16s%2Fg%2F11b774hqds!19sChIJudqdOTE4kpIRCngDZnIjJh4?authuser=0&hl=pt-BR&g_ep=EgoyMDI2MDkwOC4wIJJjKgBIAVAD&rclk=1,"https://www.google.com/maps?q=-3.1907846,-52.2063382",revisado_com_pendencias,Revisar,sem contato | pendências da fonte,cadastur | google_maps | youtube | visitaltamira
